"Account_Age_Days,Login_Frequency,Daily_Usage_Mins,Last_Support_Ticket,Churn,Account_Age_Months,Contract_Type,Tenure_Range,Risk_Score,Risk_Level"
"70,0,91,The integration with Slack works perfectly.,1,2.3333333333333335,Month-to-month,0-6 Months,0.65,High"
"400,2,5,I've been waiting for support for 3 days. I'm cancelling.,1,13.333333333333334,Annual,1-2 Years,0.855,Very High"
"767,0,46,Can I add more seats to my current plan?,0,25.566666666666666,Biennial,2+ Years,0.07,Low"
"512,0,21,I need to update my billing address.,1,17.066666666666666,Annual,1-2 Years,0.785,High"
"161,2,20,When will the maintenance window end?,0,5.366666666666666,Month-to-month,0-6 Months,0.02,Low"
"877,1,2,The app crashes every time I try to upload a CSV.,1,29.233333333333334,Biennial,2+ Years,0.93,Very High"
"42,0,56,I need to update my billing address.,0,1.4,Month-to-month,0-6 Months,0.055,Low"
"954,0,57,Just checking if my payment went through.,0,31.8,Biennial,2+ Years,0.06,Low"
"111,1,3,Your API documentation is outdated and full of errors.,0,3.7,Month-to-month,0-6 Months,0.36,Low"
"1024,2,25,Can I add more seats to my current plan?,1,34.13333333333333,Biennial,2+ Years,0.62,High"
"575,0,92,I love the new analytics feature! Great job.,0,19.166666666666668,Annual,1-2 Years,0.0,Low"
"763,0,110,I love the new analytics feature! Great job.,0,25.433333333333334,Biennial,2+ Years,0.03,Low"
"681,2,41,Can I add more seats to my current plan?,0,22.7,Annual,1-2 Years,0.025,Low"
"228,0,91,The integration with Slack works perfectly.,0,7.6,Month-to-month,6-12 Months,0.03,Low"
"275,2,17,Can I add more seats to my current plan?,0,9.166666666666666,Month-to-month,6-12 Months,0.005,Low"
"958,2,14,I've been waiting for support for 3 days. I'm cancelling.,0,31.933333333333334,Biennial,2+ Years,0.16,Low"
"393,0,59,When will the maintenance window end?,0,13.1,Annual,1-2 Years,0.025,Low"
"349,0,95,Customer support was super helpful yesterday. Thanks!,0,11.633333333333333,Month-to-month,6-12 Months,0.0,Low"
"295,1,9,The app crashes every time I try to upload a CSV.,0,9.833333333333334,Month-to-month,6-12 Months,0.965,Very High"
"87,2,57,How do I change my password?,1,2.9,Month-to-month,0-6 Months,0.65,High"
"975,0,56,Customer support was super helpful yesterday. Thanks!,0,32.5,Biennial,2+ Years,0.025,Low"
"279,1,3,The app crashes every time I try to upload a CSV.,1,9.3,Month-to-month,6-12 Months,0.98,Very High"
"159,1,6,The app crashes every time I try to upload a CSV.,1,5.3,Month-to-month,0-6 Months,0.755,High"
"468,2,22,Just checking if my payment went through.,0,15.6,Annual,1-2 Years,0.085,Low"
"161,2,51,Is there a tutorial for the new dashboard feature?,0,5.366666666666666,Month-to-month,0-6 Months,0.16,Low"
"859,0,24,I need to update my billing address.,0,28.633333333333333,Biennial,2+ Years,0.005,Low"
"834,0,34,Is there a tutorial for the new dashboard feature?,0,27.8,Biennial,2+ Years,0.0,Low"
"395,0,40,I need to update my billing address.,0,13.166666666666666,Annual,1-2 Years,0.035,Low"
"1030,0,45,Is there a tutorial for the new dashboard feature?,0,34.333333333333336,Biennial,2+ Years,0.095,Low"
"189,0,80,Customer support was super helpful yesterday. Thanks!,0,6.3,Month-to-month,6-12 Months,0.0,Low"
"258,2,53,How do I change my password?,0,8.6,Month-to-month,6-12 Months,0.225,Low"
"606,1,10,The UI is too confusing. I can't find the export button.,1,20.2,Annual,1-2 Years,0.815,Very High"
"250,1,9,Why did my subscription price increase without notice?,0,8.333333333333334,Month-to-month,6-12 Months,0.24,Low"
"639,2,28,I need to update my billing address.,0,21.3,Annual,1-2 Years,0.08,Low"
"308,2,2,The app crashes every time I try to upload a CSV.,1,10.266666666666667,Month-to-month,6-12 Months,1.0,Very High"
"37,2,7,I've been waiting for support for 3 days. I'm cancelling.,1,1.2333333333333334,Month-to-month,0-6 Months,1.0,Very High"
"906,2,9,Your API documentation is outdated and full of errors.,1,30.2,Biennial,2+ Years,0.695,High"
"236,2,40,How do I change my password?,0,7.866666666666666,Month-to-month,6-12 Months,0.065,Low"
"220,2,40,When will the maintenance window end?,0,7.333333333333333,Month-to-month,6-12 Months,0.045,Low"
"482,2,54,How do I change my password?,0,16.066666666666666,Annual,1-2 Years,0.11,Low"
"78,0,20,Can I add more seats to my current plan?,0,2.6,Month-to-month,0-6 Months,0.575,Medium"
"701,0,98,Customer support was super helpful yesterday. Thanks!,0,23.366666666666667,Annual,1-2 Years,0.0,Low"
"590,0,23,Just checking if my payment went through.,0,19.666666666666668,Annual,1-2 Years,0.01,Low"
"338,2,50,Can I add more seats to my current plan?,0,11.266666666666667,Month-to-month,6-12 Months,0.09,Low"
"547,0,53,Just checking if my payment went through.,0,18.233333333333334,Annual,1-2 Years,0.12,Low"
"320,1,11,Your API documentation is outdated and full of errors.,1,10.666666666666666,Month-to-month,6-12 Months,0.975,Very High"
"376,1,8,Your API documentation is outdated and full of errors.,0,12.533333333333333,Annual,1-2 Years,0.295,Low"
"809,2,52,When will the maintenance window end?,0,26.966666666666665,Biennial,2+ Years,0.075,Low"
"955,0,52,Just checking if my payment went through.,0,31.833333333333332,Biennial,2+ Years,0.245,Low"
"1065,2,33,Can I add more seats to my current plan?,0,35.5,Biennial,2+ Years,0.015,Low"
"1055,2,17,When will the maintenance window end?,0,35.166666666666664,Biennial,2+ Years,0.13,Low"
"584,2,33,How do I change my password?,0,19.466666666666665,Annual,1-2 Years,0.025,Low"
"864,0,31,Just checking if my payment went through.,0,28.8,Biennial,2+ Years,0.04,Low"
"620,0,51,I need to update my billing address.,0,20.666666666666668,Annual,1-2 Years,0.0,Low"
"364,2,8,The UI is too confusing. I can't find the export button.,1,12.133333333333333,Annual,6-12 Months,0.995,Very High"
"17,2,32,Is there a tutorial for the new dashboard feature?,0,0.5666666666666667,Month-to-month,0-6 Months,0.625,High"
"653,2,54,Can I add more seats to my current plan?,0,21.766666666666666,Annual,1-2 Years,0.175,Low"
"784,2,44,When will the maintenance window end?,0,26.133333333333333,Biennial,2+ Years,0.055,Low"
"868,0,98,""Just upgraded to the Pro plan, excited to use it."",0,28.933333333333334,Biennial,2+ Years,0.005,Low"
"33,1,7,The app crashes every time I try to upload a CSV.,1,1.1,Month-to-month,0-6 Months,0.775,High"
"165,1,10,The UI is too confusing. I can't find the export button.,1,5.5,Month-to-month,0-6 Months,0.93,Very High"
"856,2,16,I need to update my billing address.,0,28.533333333333335,Biennial,2+ Years,0.04,Low"
"855,2,25,Just checking if my payment went through.,1,28.5,Biennial,2+ Years,0.645,High"
"522,0,78,The integration with Slack works perfectly.,0,17.4,Annual,1-2 Years,0.0,Low"
"291,0,87,Customer support was super helpful yesterday. Thanks!,0,9.7,Month-to-month,6-12 Months,0.0,Low"
"916,0,35,I need to update my billing address.,0,30.533333333333335,Biennial,2+ Years,0.015,Low"
"881,2,24,Is there a tutorial for the new dashboard feature?,0,29.366666666666667,Biennial,2+ Years,0.165,Low"
"929,2,43,Just checking if my payment went through.,0,30.966666666666665,Biennial,2+ Years,0.095,Low"
"617,0,15,When will the maintenance window end?,0,20.566666666666666,Annual,1-2 Years,0.075,Low"
"177,0,45,Is there a tutorial for the new dashboard feature?,0,5.9,Month-to-month,0-6 Months,0.115,Low"
"992,0,27,I need to update my billing address.,0,33.06666666666667,Biennial,2+ Years,0.0,Low"
"1049,0,79,""Just upgraded to the Pro plan, excited to use it."",0,34.96666666666667,Biennial,2+ Years,0.01,Low"
"619,2,22,Is there a tutorial for the new dashboard feature?,0,20.633333333333333,Annual,1-2 Years,0.13,Low"
"837,0,58,How do I change my password?,0,27.9,Biennial,2+ Years,0.005,Low"
"893,2,21,Just checking if my payment went through.,0,29.766666666666666,Biennial,2+ Years,0.08,Low"
"1,2,14,I'm very frustrated with the downtime. This is unacceptable.,0,0.03333333333333333,Month-to-month,0-6 Months,0.29,Low"
"1005,0,50,Is there a tutorial for the new dashboard feature?,0,33.5,Biennial,2+ Years,0.02,Low"
"950,0,15,Can I add more seats to my current plan?,0,31.666666666666668,Biennial,2+ Years,0.19,Low"
"936,2,12,I'm very frustrated with the downtime. This is unacceptable.,1,31.2,Biennial,2+ Years,0.96,Very High"
"1009,2,6,I've been waiting for support for 3 days. I'm cancelling.,1,33.63333333333333,Biennial,2+ Years,0.825,Very High"
"76,2,10,I'm very frustrated with the downtime. This is unacceptable.,1,2.533333333333333,Month-to-month,0-6 Months,0.83,Very High"
"845,2,47,When will the maintenance window end?,0,28.166666666666668,Biennial,2+ Years,0.055,Low"
"730,2,3,The app crashes every time I try to upload a CSV.,1,24.333333333333332,Biennial,1-2 Years,1.0,Very High"
"1030,2,39,Can I add more seats to my current plan?,0,34.333333333333336,Biennial,2+ Years,0.065,Low"
"156,2,47,How do I change my password?,0,5.2,Month-to-month,0-6 Months,0.035,Low"
"806,0,109,The integration with Slack works perfectly.,0,26.866666666666667,Biennial,2+ Years,0.125,Low"
"1060,2,29,Just checking if my payment went through.,0,35.333333333333336,Biennial,2+ Years,0.015,Low"
"468,2,30,How do I change my password?,0,15.6,Annual,1-2 Years,0.03,Low"
"42,0,61,I love the new analytics feature! Great job.,1,1.4,Month-to-month,0-6 Months,0.61,High"
"134,2,3,Your API documentation is outdated and full of errors.,1,4.466666666666667,Month-to-month,0-6 Months,0.745,High"
"763,2,28,When will the maintenance window end?,0,25.433333333333334,Biennial,2+ Years,0.025,Low"
"137,2,24,When will the maintenance window end?,0,4.566666666666666,Month-to-month,0-6 Months,0.085,Low"
"151,0,65,""Just upgraded to the Pro plan, excited to use it."",0,5.033333333333333,Month-to-month,0-6 Months,0.0,Low"
"494,2,10,The app crashes every time I try to upload a CSV.,1,16.466666666666665,Annual,1-2 Years,0.965,Very High"
"914,0,25,When will the maintenance window end?,0,30.466666666666665,Biennial,2+ Years,0.015,Low"
"348,0,49,""Smooth experience so far, no complaints."",0,11.6,Month-to-month,6-12 Months,0.11,Low"
"776,1,11,I'm very frustrated with the downtime. This is unacceptable.,1,25.866666666666667,Biennial,2+ Years,0.995,Very High"
"734,0,57,When will the maintenance window end?,0,24.466666666666665,Biennial,2+ Years,0.015,Low"
"318,2,54,Can I add more seats to my current plan?,0,10.6,Month-to-month,6-12 Months,0.015,Low"
"806,2,10,I'm very frustrated with the downtime. This is unacceptable.,0,26.866666666666667,Biennial,2+ Years,0.34,Low"
"622,2,35,How do I change my password?,0,20.733333333333334,Annual,1-2 Years,0.075,Low"
"194,2,36,Just checking if my payment went through.,0,6.466666666666667,Month-to-month,6-12 Months,0.0,Low"
"136,0,19,How do I change my password?,1,4.533333333333333,Month-to-month,0-6 Months,0.88,Very High"
"237,0,98,""Smooth experience so far, no complaints."",0,7.9,Month-to-month,6-12 Months,0.04,Low"
"90,0,25,I need to update my billing address.,1,3.0,Month-to-month,0-6 Months,0.71,High"
"725,2,43,Can I add more seats to my current plan?,0,24.166666666666668,Biennial,1-2 Years,0.01,Low"
"307,2,9,Your API documentation is outdated and full of errors.,1,10.233333333333333,Month-to-month,6-12 Months,0.99,Very High"
"399,1,13,Your API documentation is outdated and full of errors.,0,13.3,Annual,1-2 Years,0.33,Low"
"419,1,10,Your API documentation is outdated and full of errors.,1,13.966666666666667,Annual,1-2 Years,0.98,Very High"
"654,1,12,Your API documentation is outdated and full of errors.,1,21.8,Annual,1-2 Years,0.955,Very High"
"940,2,52,Can I add more seats to my current plan?,0,31.333333333333332,Biennial,2+ Years,0.035,Low"
"621,1,3,Your API documentation is outdated and full of errors.,0,20.7,Annual,1-2 Years,0.39,Low"
"871,0,28,Is there a tutorial for the new dashboard feature?,0,29.033333333333335,Biennial,2+ Years,0.035,Low"
"94,2,26,When will the maintenance window end?,0,3.1333333333333333,Month-to-month,0-6 Months,0.035,Low"
"808,0,25,I need to update my billing address.,0,26.933333333333334,Biennial,2+ Years,0.005,Low"
"187,2,9,Why did my subscription price increase without notice?,1,6.233333333333333,Month-to-month,6-12 Months,0.975,Very High"
"96,0,26,When will the maintenance window end?,0,3.2,Month-to-month,0-6 Months,0.09,Low"
"902,1,13,Your API documentation is outdated and full of errors.,1,30.066666666666666,Biennial,2+ Years,0.95,Very High"
"687,0,58,How do I change my password?,0,22.9,Annual,1-2 Years,0.04,Low"
"382,1,1,I'm very frustrated with the downtime. This is unacceptable.,1,12.733333333333333,Annual,1-2 Years,0.895,Very High"
"598,0,90,""Smooth experience so far, no complaints."",0,19.933333333333334,Annual,1-2 Years,0.115,Low"
"332,0,77,This tool has saved my team so much time.,0,11.066666666666666,Month-to-month,6-12 Months,0.0,Low"
"1087,2,21,Can I add more seats to my current plan?,0,36.233333333333334,Biennial,2+ Years,0.04,Low"
"561,2,13,The UI is too confusing. I can't find the export button.,1,18.7,Annual,1-2 Years,0.985,Very High"
"96,2,2,I've been waiting for support for 3 days. I'm cancelling.,1,3.2,Month-to-month,0-6 Months,0.965,Very High"
"780,0,51,Just checking if my payment went through.,1,26.0,Biennial,2+ Years,0.775,High"
"797,0,33,Just checking if my payment went through.,0,26.566666666666666,Biennial,2+ Years,0.105,Low"
"257,2,4,Your API documentation is outdated and full of errors.,1,8.566666666666666,Month-to-month,6-12 Months,0.915,Very High"
"418,0,114,""Smooth experience so far, no complaints."",0,13.933333333333334,Annual,1-2 Years,0.055,Low"
"288,0,56,Is there a tutorial for the new dashboard feature?,0,9.6,Month-to-month,6-12 Months,0.075,Low"
"810,0,19,Just checking if my payment went through.,0,27.0,Biennial,2+ Years,0.015,Low"
"639,2,8,Why did my subscription price increase without notice?,1,21.3,Annual,1-2 Years,0.985,Very High"
"575,2,8,Your API documentation is outdated and full of errors.,1,19.166666666666668,Annual,1-2 Years,0.99,Very High"
"827,0,83,Customer support was super helpful yesterday. Thanks!,0,27.566666666666666,Biennial,2+ Years,0.14,Low"
"277,2,17,When will the maintenance window end?,0,9.233333333333333,Month-to-month,6-12 Months,0.135,Low"
"561,2,36,Is there a tutorial for the new dashboard feature?,0,18.7,Annual,1-2 Years,0.215,Low"
"508,0,48,How do I change my password?,1,16.933333333333334,Annual,1-2 Years,0.045,Low"
"963,1,10,Your API documentation is outdated and full of errors.,1,32.1,Biennial,2+ Years,0.905,Very High"
"1063,1,14,I'm very frustrated with the downtime. This is unacceptable.,1,35.43333333333333,Biennial,2+ Years,1.0,Very High"
"211,0,99,This tool has saved my team so much time.,0,7.033333333333333,Month-to-month,6-12 Months,0.0,Low"
"654,2,3,The app crashes every time I try to upload a CSV.,1,21.8,Annual,1-2 Years,1.0,Very High"
"365,2,49,Can I add more seats to my current plan?,1,12.166666666666666,Annual,6-12 Months,0.63,High"
"997,0,36,Just checking if my payment went through.,0,33.233333333333334,Biennial,2+ Years,0.32,Low"
"839,1,2,Your API documentation is outdated and full of errors.,0,27.966666666666665,Biennial,2+ Years,0.785,High"
"1091,0,41,When will the maintenance window end?,0,36.36666666666667,Biennial,2+ Years,0.065,Low"
"243,0,40,Can I add more seats to my current plan?,0,8.1,Month-to-month,6-12 Months,0.025,Low"
"195,2,59,How do I change my password?,0,6.5,Month-to-month,6-12 Months,0.135,Low"
"384,2,12,The app crashes every time I try to upload a CSV.,1,12.8,Annual,1-2 Years,1.0,Very High"
"582,0,64,I love the new analytics feature! Great job.,0,19.4,Annual,1-2 Years,0.005,Low"
"437,0,52,When will the maintenance window end?,0,14.566666666666666,Annual,1-2 Years,0.04,Low"
"698,2,26,I need to update my billing address.,0,23.266666666666666,Annual,1-2 Years,0.2,Low"
"275,2,56,When will the maintenance window end?,0,9.166666666666666,Month-to-month,6-12 Months,0.115,Low"
"815,0,100,The integration with Slack works perfectly.,0,27.166666666666668,Biennial,2+ Years,0.02,Low"
"876,0,40,Can I add more seats to my current plan?,1,29.2,Biennial,2+ Years,0.655,High"
"302,0,25,I need to update my billing address.,0,10.066666666666666,Month-to-month,6-12 Months,0.04,Low"
"1083,0,85,Customer support was super helpful yesterday. Thanks!,0,36.1,Biennial,2+ Years,0.02,Low"
"242,2,56,Just checking if my payment went through.,0,8.066666666666666,Month-to-month,6-12 Months,0.14,Low"
"320,1,14,The app crashes every time I try to upload a CSV.,1,10.666666666666666,Month-to-month,6-12 Months,0.375,Low"
"132,0,113,I love the new analytics feature! Great job.,0,4.4,Month-to-month,0-6 Months,0.01,Low"
"877,1,9,I'm very frustrated with the downtime. This is unacceptable.,1,29.233333333333334,Biennial,2+ Years,0.96,Very High"
"714,0,37,I need to update my billing address.,0,23.8,Annual,1-2 Years,0.05,Low"
"101,1,1,The app crashes every time I try to upload a CSV.,1,3.3666666666666667,Month-to-month,0-6 Months,0.97,Very High"
"1047,1,4,The app crashes every time I try to upload a CSV.,1,34.9,Biennial,2+ Years,0.825,Very High"
"1051,1,4,I'm very frustrated with the downtime. This is unacceptable.,1,35.03333333333333,Biennial,2+ Years,1.0,Very High"
"75,0,49,Just checking if my payment went through.,1,2.5,Month-to-month,0-6 Months,0.81,Very High"
"84,2,7,The UI is too confusing. I can't find the export button.,1,2.8,Month-to-month,0-6 Months,0.93,Very High"
"660,0,38,I need to update my billing address.,0,22.0,Annual,1-2 Years,0.045,Low"
"312,0,22,How do I change my password?,0,10.4,Month-to-month,6-12 Months,0.105,Low"
"875,2,29,Can I add more seats to my current plan?,0,29.166666666666668,Biennial,2+ Years,0.04,Low"
"368,2,32,I need to update my billing address.,0,12.266666666666667,Annual,1-2 Years,0.47,Medium"
"103,2,48,Just checking if my payment went through.,0,3.433333333333333,Month-to-month,0-6 Months,0.015,Low"
"553,0,31,Can I add more seats to my current plan?,0,18.433333333333334,Annual,1-2 Years,0.015,Low"
"876,0,59,How do I change my password?,0,29.2,Biennial,2+ Years,0.005,Low"
"816,0,75,Customer support was super helpful yesterday. Thanks!,1,27.2,Biennial,2+ Years,0.65,High"
"527,2,5,Your API documentation is outdated and full of errors.,1,17.566666666666666,Annual,1-2 Years,1.0,Very High"
"703,0,56,Customer support was super helpful yesterday. Thanks!,0,23.433333333333334,Annual,1-2 Years,0.01,Low"
"701,2,58,Is there a tutorial for the new dashboard feature?,1,23.366666666666667,Annual,1-2 Years,0.77,High"
"516,1,6,The app crashes every time I try to upload a CSV.,1,17.2,Annual,1-2 Years,0.95,Very High"
"508,1,3,The UI is too confusing. I can't find the export button.,1,16.933333333333334,Annual,1-2 Years,0.97,Very High"
"150,2,28,I need to update my billing address.,0,5.0,Month-to-month,0-6 Months,0.0,Low"
"350,1,13,The UI is too confusing. I can't find the export button.,1,11.666666666666666,Month-to-month,6-12 Months,0.88,Very High"
"749,1,7,Why did my subscription price increase without notice?,1,24.966666666666665,Biennial,2+ Years,0.98,Very High"
"398,2,33,Just checking if my payment went through.,0,13.266666666666667,Annual,1-2 Years,0.025,Low"
"1020,1,13,I'm very frustrated with the downtime. This is unacceptable.,1,34.0,Biennial,2+ Years,0.995,Very High"
"673,2,13,I'm very frustrated with the downtime. This is unacceptable.,0,22.433333333333334,Annual,1-2 Years,0.42,Medium"
"534,2,10,I'm very frustrated with the downtime. This is unacceptable.,1,17.8,Annual,1-2 Years,0.91,Very High"
"1006,1,14,Why did my subscription price increase without notice?,1,33.53333333333333,Biennial,2+ Years,0.735,High"
"563,1,3,I'm very frustrated with the downtime. This is unacceptable.,1,18.766666666666666,Annual,1-2 Years,0.965,Very High"
"634,0,83,The integration with Slack works perfectly.,0,21.133333333333333,Annual,1-2 Years,0.0,Low"
"393,1,9,I'm very frustrated with the downtime. This is unacceptable.,0,13.1,Annual,1-2 Years,0.355,Low"
"993,1,10,The UI is too confusing. I can't find the export button.,1,33.1,Biennial,2+ Years,0.98,Very High"
"399,1,10,I'm very frustrated with the downtime. This is unacceptable.,1,13.3,Annual,1-2 Years,0.795,High"
"956,0,100,""Just upgraded to the Pro plan, excited to use it."",0,31.866666666666667,Biennial,2+ Years,0.025,Low"
"1053,2,45,Is there a tutorial for the new dashboard feature?,0,35.1,Biennial,2+ Years,0.075,Low"
"606,1,4,The app crashes every time I try to upload a CSV.,1,20.2,Annual,1-2 Years,0.985,Very High"
"699,1,3,I've been waiting for support for 3 days. I'm cancelling.,1,23.3,Annual,1-2 Years,0.895,Very High"
"444,2,59,Just checking if my payment went through.,1,14.8,Annual,1-2 Years,0.765,High"
"952,1,3,The app crashes every time I try to upload a CSV.,1,31.733333333333334,Biennial,2+ Years,0.99,Very High"
"1089,0,57,The integration with Slack works perfectly.,0,36.3,Biennial,2+ Years,0.0,Low"
"769,0,107,The integration with Slack works perfectly.,0,25.633333333333333,Biennial,2+ Years,0.06,Low"
"874,2,25,I need to update my billing address.,0,29.133333333333333,Biennial,2+ Years,0.03,Low"
"158,0,62,Customer support was super helpful yesterday. Thanks!,0,5.266666666666667,Month-to-month,0-6 Months,0.0,Low"
"893,2,5,I'm very frustrated with the downtime. This is unacceptable.,1,29.766666666666666,Biennial,2+ Years,0.95,Very High"
"450,0,87,""Smooth experience so far, no complaints."",1,15.0,Annual,1-2 Years,0.625,High"
"480,0,26,I need to update my billing address.,0,16.0,Annual,1-2 Years,0.185,Low"
"685,0,42,How do I change my password?,0,22.833333333333332,Annual,1-2 Years,0.03,Low"
"289,1,8,I've been waiting for support for 3 days. I'm cancelling.,1,9.633333333333333,Month-to-month,6-12 Months,0.995,Very High"
"546,2,36,How do I change my password?,0,18.2,Annual,1-2 Years,0.125,Low"
"390,0,48,I need to update my billing address.,0,13.0,Annual,1-2 Years,0.03,Low"
"914,0,40,Just checking if my payment went through.,0,30.466666666666665,Biennial,2+ Years,0.22,Low"
"674,0,66,The integration with Slack works perfectly.,0,22.466666666666665,Annual,1-2 Years,0.0,Low"
"419,2,36,I need to update my billing address.,1,13.966666666666667,Annual,1-2 Years,0.125,Low"
"392,2,51,I need to update my billing address.,0,13.066666666666666,Annual,1-2 Years,0.07,Low"
"141,0,20,How do I change my password?,1,4.7,Month-to-month,0-6 Months,0.88,Very High"
"840,0,47,""Smooth experience so far, no complaints."",0,28.0,Biennial,2+ Years,0.005,Low"
"146,0,47,The integration with Slack works perfectly.,0,4.866666666666666,Month-to-month,0-6 Months,0.095,Low"
"177,0,35,Is there a tutorial for the new dashboard feature?,0,5.9,Month-to-month,0-6 Months,0.02,Low"
"380,2,17,I need to update my billing address.,1,12.666666666666666,Annual,1-2 Years,0.68,High"
"1075,2,54,Is there a tutorial for the new dashboard feature?,0,35.833333333333336,Biennial,2+ Years,0.145,Low"
"269,0,20,When will the maintenance window end?,0,8.966666666666667,Month-to-month,6-12 Months,0.2,Low"
"872,1,6,I've been waiting for support for 3 days. I'm cancelling.,1,29.066666666666666,Biennial,2+ Years,1.0,Very High"
"276,2,14,The UI is too confusing. I can't find the export button.,0,9.2,Month-to-month,6-12 Months,0.255,Low"
"478,0,27,How do I change my password?,0,15.933333333333334,Annual,1-2 Years,0.01,Low"
"377,0,41,Just checking if my payment went through.,0,12.566666666666666,Annual,1-2 Years,0.095,Low"
"962,0,101,The integration with Slack works perfectly.,0,32.06666666666667,Biennial,2+ Years,0.02,Low"
"562,1,6,The app crashes every time I try to upload a CSV.,1,18.733333333333334,Annual,1-2 Years,0.98,Very High"
"309,2,10,Why did my subscription price increase without notice?,1,10.3,Month-to-month,6-12 Months,0.985,Very High"
"405,0,56,Just checking if my payment went through.,0,13.5,Annual,1-2 Years,0.045,Low"
"696,2,22,When will the maintenance window end?,0,23.2,Annual,1-2 Years,0.045,Low"
"1038,0,71,Customer support was super helpful yesterday. Thanks!,0,34.6,Biennial,2+ Years,0.04,Low"
"733,2,50,Can I add more seats to my current plan?,0,24.433333333333334,Biennial,2+ Years,0.02,Low"
"277,0,24,Can I add more seats to my current plan?,0,9.233333333333333,Month-to-month,6-12 Months,0.18,Low"
"42,2,39,How do I change my password?,0,1.4,Month-to-month,0-6 Months,0.045,Low"
"288,0,38,Is there a tutorial for the new dashboard feature?,0,9.6,Month-to-month,6-12 Months,0.06,Low"
"335,0,58,Can I add more seats to my current plan?,0,11.166666666666666,Month-to-month,6-12 Months,0.015,Low"
"836,1,6,I'm very frustrated with the downtime. This is unacceptable.,1,27.866666666666667,Biennial,2+ Years,0.995,Very High"
"311,2,32,When will the maintenance window end?,0,10.366666666666667,Month-to-month,6-12 Months,0.015,Low"
"375,0,20,Can I add more seats to my current plan?,1,12.5,Annual,1-2 Years,0.65,High"
"369,0,93,""Just upgraded to the Pro plan, excited to use it."",0,12.3,Annual,1-2 Years,0.17,Low"
"689,1,1,The app crashes every time I try to upload a CSV.,1,22.966666666666665,Annual,1-2 Years,1.0,Very High"
"871,1,9,The UI is too confusing. I can't find the export button.,0,29.033333333333335,Biennial,2+ Years,0.33,Low"
"133,0,106,The integration with Slack works perfectly.,0,4.433333333333334,Month-to-month,0-6 Months,0.235,Low"
"836,0,23,I need to update my billing address.,0,27.866666666666667,Biennial,2+ Years,0.01,Low"
"280,2,7,Your API documentation is outdated and full of errors.,1,9.333333333333334,Month-to-month,6-12 Months,1.0,Very High"
"798,2,33,How do I change my password?,0,26.6,Biennial,2+ Years,0.295,Low"
"1071,0,27,How do I change my password?,0,35.7,Biennial,2+ Years,0.015,Low"
"532,2,13,Your API documentation is outdated and full of errors.,1,17.733333333333334,Annual,1-2 Years,0.89,Very High"
"190,1,4,The UI is too confusing. I can't find the export button.,1,6.333333333333333,Month-to-month,6-12 Months,0.97,Very High"
"9,1,8,I'm very frustrated with the downtime. This is unacceptable.,1,0.3,Month-to-month,0-6 Months,0.985,Very High"
"943,2,57,Can I add more seats to my current plan?,1,31.433333333333334,Biennial,2+ Years,0.78,High"
"405,0,104,""Just upgraded to the Pro plan, excited to use it."",1,13.5,Annual,1-2 Years,0.695,High"
"58,0,59,How do I change my password?,0,1.9333333333333333,Month-to-month,0-6 Months,0.19,Low"
"53,2,46,When will the maintenance window end?,0,1.7666666666666666,Month-to-month,0-6 Months,0.01,Low"
"836,2,27,Can I add more seats to my current plan?,0,27.866666666666667,Biennial,2+ Years,0.1,Low"
"541,0,111,The integration with Slack works perfectly.,0,18.033333333333335,Annual,1-2 Years,0.0,Low"
"1034,2,54,I need to update my billing address.,0,34.46666666666667,Biennial,2+ Years,0.255,Low"
"980,0,55,I need to update my billing address.,0,32.666666666666664,Biennial,2+ Years,0.005,Low"
"522,2,30,Just checking if my payment went through.,0,17.4,Annual,1-2 Years,0.045,Low"
"685,2,2,Why did my subscription price increase without notice?,0,22.833333333333332,Annual,1-2 Years,0.95,Very High"
"219,1,6,Why did my subscription price increase without notice?,0,7.3,Month-to-month,6-12 Months,0.29,Low"
"112,0,112,The integration with Slack works perfectly.,0,3.7333333333333334,Month-to-month,0-6 Months,0.26,Low"
"764,0,117,Customer support was super helpful yesterday. Thanks!,0,25.466666666666665,Biennial,2+ Years,0.1,Low"
"99,2,23,How do I change my password?,0,3.3,Month-to-month,0-6 Months,0.02,Low"
"236,2,20,I need to update my billing address.,0,7.866666666666666,Month-to-month,6-12 Months,0.025,Low"
"76,2,7,The app crashes every time I try to upload a CSV.,1,2.533333333333333,Month-to-month,0-6 Months,0.99,Very High"
"12,2,52,Just checking if my payment went through.,0,0.4,Month-to-month,0-6 Months,0.195,Low"
"680,2,54,I need to update my billing address.,1,22.666666666666668,Annual,1-2 Years,0.635,High"
"154,2,28,How do I change my password?,0,5.133333333333334,Month-to-month,0-6 Months,0.04,Low"
"931,1,7,I'm very frustrated with the downtime. This is unacceptable.,1,31.033333333333335,Biennial,2+ Years,1.0,Very High"
"196,1,1,I've been waiting for support for 3 days. I'm cancelling.,1,6.533333333333333,Month-to-month,6-12 Months,0.995,Very High"
"1019,1,5,Why did my subscription price increase without notice?,0,33.96666666666667,Biennial,2+ Years,0.74,High"
"429,0,54,Just checking if my payment went through.,0,14.3,Annual,1-2 Years,0.045,Low"
"771,0,17,When will the maintenance window end?,1,25.7,Biennial,2+ Years,0.815,Very High"
"1087,0,43,Just checking if my payment went through.,0,36.233333333333334,Biennial,2+ Years,0.2,Low"
